dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
,2023-03-15 00:00:00 +0000 UTC,,7.6,6.1,1.0,18.4,,1023.2,999.5,92,1.3,,0.0,
,2023-03-15 01:00:00 +0000 UTC,,6.7,4.8,1.0,18.4,,1022.7,998.9,94,1.63,,2.0,
,2023-03-15 02:00:00 +0000 UTC,,5.8,3.7,1.0,18.4,,1022.5,998.7,94,1.84,,2.0,
,2023-03-15 03:00:00 +0000 UTC,,5.2,3.1,1.0,18.4,,1022.0,998.1,94,1.5,,5.0,
,2023-03-15 04:00:00 +0000 UTC,,4.5,2.5,1.0,18.4,,1020.8,996.9,95,1.12,,0.0,
,2023-03-15 05:00:00 +0000 UTC,,3.9,1.8,1.0,18.4,,1020.4,996.5,96,1.08,,0.0,
,2023-03-15 06:00:00 +0000 UTC,,3.4,1.2,1.0,18.4,,1019.9,995.9,96,1.1,,0.0,
,2023-03-15 07:00:00 +0000 UTC,,3.2,1.0,1.0,18.4,,1019.3,995.3,95,0.91,,6.0,
,2023-03-15 08:00:00 +0000 UTC,,6.1,3.9,1.0,18.4,,1019.0,995.3,89,1.65,,6.0,
,2023-03-15 09:00:00 +0000 UTC,,10.4,9.2,1.0,18.4,,1018.8,995.4,83,1.04,,0.0,
,2023-03-15 10:00:00 +0000 UTC,,13.8,13.0,1.0,18.4,,1018.4,995.3,72,0.92,,0.0,
,2023-03-15 11:00:00 +0000 UTC,,16.3,15.6,1.0,18.4,,1018.0,995.1,63,1.75,,0.0,
,2023-03-15 12:00:00 +0000 UTC,,17.8,17.2,1.0,18.4,,1017.6,994.8,54,2.1,,0.0,
,2023-03-15 13:00:00 +0000 UTC,,19.0,18.2,1.0,18.4,,1016.9,994.3,48,2.72,,0.0,
,2023-03-15 14:00:00 +0000 UTC,,19.4,18.3,1.0,18.4,,1015.7,993.1,47,3.01,,0.0,
,2023-03-15 15:00:00 +0000 UTC,,19.5,18.4,1.0,18.4,,1014.7,992.1,49,2.6,,0.0,
,2023-03-15 16:00:00 +0000 UTC,,19.5,18.3,1.0,18.4,,1014.1,991.6,53,2.15,,0.0,
,2023-03-15 17:00:00 +0000 UTC,,17.8,16.3,1.0,18.4,,1014.0,991.3,62,3.04,,0.0,
,2023-03-15 18:00:00 +0000 UTC,,14.1,12.6,1.0,18.4,,1014.2,991.2,70,2.32,,0.0,
,2023-03-15 19:00:00 +0000 UTC,,13.0,11.8,1.0,18.4,,1014.5,991.4,67,0.91,,0.0,
,2023-03-15 20:00:00 +0000 UTC,,9.7,8.3,1.0,18.4,,1014.7,991.4,85,1.5,,0.0,
,2023-03-15 21:00:00 +0000 UTC,,9.0,7.3,1.0,18.4,,1014.5,991.1,88,1.78,,4.0,
,2023-03-15 22:00:00 +0000 UTC,,8.4,6.7,1.0,18.4,,1014.1,990.7,89,1.56,,25.0,
,2023-03-15 23:00:00 +0000 UTC,,10.9,9.9,1.0,18.4,,1013.6,990.4,81,0.89,,26.0,
,2023-03-16 00:00:00 +0000 UTC,,9.7,8.3,3.8,15.4,,1013.0,989.7,85,1.4,,30.0,
,2023-03-16 01:00:00 +0000 UTC,,7.6,6.0,3.8,15.4,,1012.4,989.0,92,1.25,,30.0,
,2023-03-16 02:00:00 +0000 UTC,,7.0,5.1,3.8,15.4,,1011.9,988.4,93,1.75,,25.0,
,2023-03-16 03:00:00 +0000 UTC,,6.5,4.6,3.8,15.4,,1011.5,988.0,93,1.52,,28.0,
,2023-03-16 04:00:00 +0000 UTC,,7.0,5.1,3.8,15.4,,1010.8,987.3,92,1.57,,29.0,
,2023-03-16 05:00:00 +0000 UTC,,7.3,5.2,3.8,15.4,,1010.3,986.9,91,2.06,,30.0,
,2023-03-16 06:00:00 +0000 UTC,,6.3,3.8,3.8,15.4,,1010.3,986.8,92,2.55,,30.0,
,2023-03-16 07:00:00 +0000 UTC,,6.9,4.8,3.8,15.4,,1010.4,986.9,92,1.91,,30.0,
,2023-03-16 08:00:00 +0000 UTC,,9.3,7.8,3.8,15.4,,1010.9,987.6,87,1.65,,30.0,
,2023-03-16 09:00:00 +0000 UTC,,11.9,10.9,3.8,15.4,,1011.0,987.9,82,1.48,,31.0,
,2023-03-16 10:00:00 +0000 UTC,,13.9,12.5,3.8,15.4,,1010.8,987.9,76,2.6,,34.0,
,2023-03-16 11:00:00 +0000 UTC,,15.5,14.0,3.8,15.4,,1010.3,987.5,69,3.4,,44.0,
,2023-03-16 12:00:00 +0000 UTC,,17.0,15.2,3.8,15.4,,1009.1,986.5,61,3.75,,87.0,
,2023-03-16 13:00:00 +0000 UTC,,17.6,15.4,3.8,15.4,,1008.7,986.1,57,3.79,,93.0,
,2023-03-16 14:00:00 +0000 UTC,,16.7,14.2,3.8,15.4,,1008.1,985.5,60,4.24,,62.0,
,2023-03-16 15:00:00 +0000 UTC,,15.3,13.5,3.8,15.4,,1008.2,985.5,75,4.16,,94.0,
,2023-03-16 16:00:00 +0000 UTC,,13.7,12.2,3.8,15.4,,1008.6,985.7,84,3.47,,100.0,
,2023-03-16 17:00:00 +0000 UTC,,12.8,11.8,3.8,15.4,,1008.6,985.7,89,2.56,,100.0,
,2023-03-16 18:00:00 +0000 UTC,,12.2,11.1,3.8,15.4,,1008.7,985.7,91,2.61,,100.0,
,2023-03-16 19:00:00 +0000 UTC,,11.9,10.9,3.8,15.4,,1008.9,985.9,93,2.5,,100.0,
,2023-03-16 20:00:00 +0000 UTC,,11.6,10.1,3.8,15.4,,1009.2,986.2,96,3.45,,100.0,
,2023-03-16 21:00:00 +0000 UTC,,11.9,10.8,3.8,15.4,,1009.6,986.6,96,2.84,,93.0,
,2023-03-16 22:00:00 +0000 UTC,,11.6,10.7,3.8,15.4,,1009.8,986.7,98,2.43,,71.0,
,2023-03-16 23:00:00 +0000 UTC,,11.0,9.9,3.8,15.4,,1010.3,987.2,91,2.06,,61.0,
,2023-03-17 00:00:00 +0000 UTC,,10.5,8.8,7.3,10.8,,1009.8,986.6,94,3.07,,50.0,
,2023-03-17 01:00:00 +0000 UTC,,10.8,8.4,7.3,10.8,,1010.1,987.0,94,4.44,,100.0,
,2023-03-17 02:00:00 +0000 UTC,,11.1,9.3,7.3,10.8,,1009.7,986.6,91,3.47,,100.0,
,2023-03-17 03:00:00 +0000 UTC,,10.7,8.5,7.3,10.8,,1009.6,986.5,96,4.39,,100.0,
,2023-03-17 04:00:00 +0000 UTC,,10.5,8.0,7.3,10.8,,1009.5,986.4,92,4.57,,100.0,
,2023-03-17 05:00:00 +0000 UTC,,10.5,7.7,7.3,10.8,,1010.1,986.9,92,5.01,,100.0,
,2023-03-17 06:00:00 +0000 UTC,,10.1,7.4,7.3,10.8,,1010.7,987.5,93,4.7,,100.0,
,2023-03-17 07:00:00 +0000 UTC,,10.3,8.1,7.3,10.8,,1011.2,988.0,93,3.81,,100.0,
,2023-03-17 08:00:00 +0000 UTC,,10.5,7.3,7.3,10.8,,1012.0,988.8,92,5.66,,100.0,
,2023-03-17 09:00:00 +0000 UTC,,10.9,7.8,7.3,10.8,,1012.0,988.8,93,5.75,,100.0,
,2023-03-17 10:00:00 +0000 UTC,,11.7,8.6,7.3,10.8,,1012.2,989.1,87,5.8,,100.0,
,2023-03-17 11:00:00 +0000 UTC,,12.2,9.6,7.3,10.8,,1013.1,990.0,88,5.22,,100.0,
,2023-03-17 12:00:00 +0000 UTC,,12.7,9.0,7.3,10.8,,1012.7,989.7,78,6.55,,48.0,
,2023-03-17 13:00:00 +0000 UTC,,14.0,10.8,7.3,10.8,,1012.8,989.9,76,6.22,,57.0,
,2023-03-17 14:00:00 +0000 UTC,,13.1,10.0,7.3,10.8,,1012.8,989.8,80,5.76,,75.0,
,2023-03-17 15:00:00 +0000 UTC,,11.7,9.0,7.3,10.8,,1013.5,990.4,86,4.92,,100.0,
,2023-03-17 16:00:00 +0000 UTC,,12.0,9.2,7.3,10.8,,1013.5,990.4,85,5.06,,73.0,
,2023-03-17 17:00:00 +0000 UTC,,11.6,9.2,7.3,10.8,,1013.7,990.5,84,4.11,,42.0,
,2023-03-17 18:00:00 +0000 UTC,,11.3,9.0,7.3,10.8,,1014.0,990.8,85,3.85,,45.0,
