time,snowfall (cm),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2021-09-29T00:00,0.00,14.4,14.3,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T01:00,0.00,18.0,13.9,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T02:00,0.00,14.4,13.7,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T03:00,0.00,14.8,13.4,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T04:00,0.00,14.8,13.2,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T05:00,0.00,14.4,13.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T06:00,0.00,14.4,12.7,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T07:00,0.00,13.3,12.7,0.318,9.0,3.0,6.0,37.5,49.9,21.5,7.2,14.4,82.0,119.3
2021-09-29T08:00,0.00,15.1,13.5,0.318,130.0,83.0,47.0,455.9,248.3,195.9,125.1,70.8,455.9,374.1
2021-09-29T09:00,0.00,18.0,14.9,0.317,310.0,241.0,69.0,670.1,490.4,379.8,295.2,84.5,670.1,600.8
2021-09-29T10:00,0.00,24.1,16.6,0.316,476.0,388.0,88.0,759.7,696.4,535.7,436.7,99.0,759.7,783.7
2021-09-29T11:00,0.00,25.6,18.2,0.313,607.0,512.0,95.0,819.3,852.1,648.6,547.1,101.5,819.3,910.5
2021-09-29T12:00,0.00,26.3,19.2,0.311,694.0,603.0,91.0,868.3,947.0,712.6,619.2,93.4,868.3,972.4
2021-09-29T13:00,0.00,23.4,20.3,0.308,669.0,537.0,132.0,751.4,974.5,662.6,531.9,130.7,751.4,965.2
2021-09-29T14:00,0.00,26.3,21.1,0.305,679.0,584.0,95.0,853.8,932.8,647.5,556.9,90.6,853.8,889.4
2021-09-29T15:00,0.00,29.2,21.4,0.302,584.0,496.0,88.0,820.3,824.6,531.3,451.2,80.1,820.3,750.2
2021-09-29T16:00,0.00,30.2,21.3,0.300,444.0,363.0,81.0,753.0,657.4,376.1,307.5,68.6,753.0,556.9
2021-09-29T17:00,0.00,30.6,20.8,0.299,267.0,194.0,73.0,597.9,442.5,194.8,141.5,53.3,597.9,322.8
2021-09-29T18:00,0.00,31.0,19.8,0.298,85.0,33.0,52.0,212.4,194.5,27.9,10.8,17.1,124.2,63.8
2021-09-29T19:00,0.00,32.4,18.8,0.298,2.0,0.0,2.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0
2021-09-29T20:00,0.00,31.7,18.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T21:00,0.00,24.5,17.2,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T22:00,0.00,20.9,16.6,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
