time,pressure_msl (hPa),surface_pressure (hPa)
2023-01-01T00:00,1019.0,995.8
2023-01-01T01:00,1018.1,994.9
2023-01-01T02:00,1016.8,993.7
2023-01-01T03:00,1016.2,993.1
2023-01-01T04:00,1015.3,992.3
2023-01-01T05:00,1015.0,992.0
2023-01-01T06:00,1014.8,991.8
2023-01-01T07:00,1014.7,991.7
2023-01-01T08:00,1015.1,992.1
2023-01-01T09:00,1015.0,992.0
2023-01-01T10:00,1014.3,991.3
2023-01-01T11:00,1014.3,991.2
2023-01-01T12:00,1013.8,990.8
2023-01-01T13:00,1014.2,991.2
2023-01-01T14:00,1014.4,991.3
2023-01-01T15:00,1014.2,991.1
2023-01-01T16:00,1014.5,991.4
2023-01-01T17:00,1015.1,991.9
2023-01-01T18:00,1016.0,992.8
2023-01-01T19:00,1017.0,993.7
2023-01-01T20:00,1018.2,994.9
2023-01-01T21:00,1019.4,996.0
2023-01-01T22:00,1020.2,996.7
2023-01-01T23:00,1021.1,997.6
2023-01-02T00:00,1022.1,998.5
2023-01-02T01:00,1022.0,998.4
2023-01-02T02:00,1022.5,998.8
2023-01-02T03:00,1023.2,999.5
2023-01-02T04:00,1024.1,1000.3
2023-01-02T05:00,1024.8,1001.0
2023-01-02T06:00,1025.1,1001.2
2023-01-02T07:00,1025.7,1001.8
2023-01-02T08:00,1026.2,1002.3
2023-01-02T09:00,1026.6,1002.7
2023-01-02T10:00,1027.2,1003.5
2023-01-02T11:00,1027.6,1004.1
2023-01-02T12:00,1027.7,1004.2
2023-01-02T13:00,1027.4,1004.0
2023-01-02T14:00,1027.4,1004.0
2023-01-02T15:00,1027.5,1004.1
2023-01-02T16:00,1027.8,1004.3
2023-01-02T17:00,1028.2,1004.7
2023-01-02T18:00,1028.5,1004.9
2023-01-02T19:00,1028.9,1005.2
2023-01-02T20:00,1029.2,1005.5
2023-01-02T21:00,1029.9,1006.1
2023-01-02T22:00,1030.2,1006.2
2023-01-02T23:00,1030.4,1006.3
2023-01-03T00:00,1030.6,1006.5
2023-01-03T01:00,1030.8,1006.6
2023-01-03T02:00,1030.7,1006.5
2023-01-03T03:00,1030.8,1006.5
2023-01-03T04:00,1030.7,1006.4
2023-01-03T05:00,1030.9,1006.6
2023-01-03T06:00,1030.9,1006.6
2023-01-03T07:00,1031.4,1007.1
2023-01-03T08:00,1032.0,1007.6
2023-01-03T09:00,1032.4,1008.2
2023-01-03T10:00,1032.9,1009.0
2023-01-03T11:00,1033.5,1009.8
2023-01-03T12:00,1033.8,1010.2
2023-01-03T13:00,1033.3,1009.7
2023-01-03T14:00,1032.7,1009.2
2023-01-03T15:00,1032.2,1008.7
2023-01-03T16:00,1032.5,1009.0
2023-01-03T17:00,1032.9,1009.3
2023-01-03T18:00,1033.3,1009.6
2023-01-03T19:00,1033.7,1009.9
2023-01-03T20:00,1033.8,1009.9
2023-01-03T21:00,1034.3,1010.3
2023-01-03T22:00,1034.4,1010.2
2023-01-03T23:00,1034.7,1010.5
2023-01-04T00:00,1035.0,1010.8
2023-01-04T01:00,1034.7,1010.4
2023-01-04T02:00,1034.4,1010.1
2023-01-04T03:00,1034.5,1010.2
2023-01-04T04:00,1034.6,1010.3
2023-01-04T05:00,1034.5,1010.2
2023-01-04T06:00,1034.0,1009.7
2023-01-04T07:00,1034.3,1010.0
2023-01-04T08:00,1034.7,1010.3
2023-01-04T09:00,1035.1,1010.9
2023-01-04T10:00,1035.6,1011.7
2023-01-04T11:00,1035.6,1011.9
2023-01-04T12:00,1035.4,1011.8
2023-01-04T13:00,1034.7,1011.2
2023-01-04T14:00,1034.0,1010.6
2023-01-04T15:00,1033.6,1010.2
2023-01-04T16:00,1033.6,1010.2
2023-01-04T17:00,1033.5,1010.0
2023-01-04T18:00,1033.6,1010.0
2023-01-04T19:00,1033.7,1009.9
2023-01-04T20:00,1033.5,1009.5
2023-01-04T21:00,1033.4,1009.3
2023-01-04T22:00,1033.2,1009.0
2023-01-04T23:00,1033.0,1008.8
2023-01-05T00:00,1032.6,1008.4
2023-01-05T01:00,1032.1,1007.9
2023-01-05T02:00,1031.5,1007.3
2023-01-05T03:00,1031.2,1007.0
2023-01-05T04:00,1030.8,1006.6
2023-01-05T05:00,1030.6,1006.4
2023-01-05T06:00,1030.4,1006.2
2023-01-05T07:00,1030.6,1006.3
2023-01-05T08:00,1030.7,1006.4
2023-01-05T09:00,1030.8,1006.7
2023-01-05T10:00,1030.9,1007.0
2023-01-05T11:00,1030.8,1007.2
2023-01-05T12:00,1030.0,1006.5
2023-01-05T13:00,1029.1,1005.7
2023-01-05T14:00,1028.4,1005.1
2023-01-05T15:00,1027.9,1004.6
2023-01-05T16:00,1027.7,1004.3
2023-01-05T17:00,1027.5,1004.1
2023-01-05T18:00,1027.5,1004.0
2023-01-05T19:00,1027.6,1003.7
2023-01-05T20:00,1028.1,1004.1
2023-01-05T21:00,1028.5,1004.4
2023-01-05T22:00,1028.3,1004.1
2023-01-05T23:00,1028.0,1003.8
2023-01-06T00:00,1027.8,1003.6
2023-01-06T01:00,1027.3,1003.1
2023-01-06T02:00,1027.0,1002.9
2023-01-06T03:00,1027.0,1003.0
2023-01-06T04:00,1026.8,1002.8
2023-01-06T05:00,1026.3,1002.4
2023-01-06T06:00,1025.8,1001.9
2023-01-06T07:00,1026.2,1002.3
2023-01-06T08:00,1026.5,1002.6
2023-01-06T09:00,1026.6,1002.7
2023-01-06T10:00,1026.9,1003.2
2023-01-06T11:00,1027.1,1003.5
2023-01-06T12:00,1026.9,1003.4
2023-01-06T13:00,1026.0,1002.5
2023-01-06T14:00,1024.9,1001.5
2023-01-06T15:00,1024.4,1001.0
2023-01-06T16:00,1024.0,1000.6
2023-01-06T17:00,1023.9,1000.5
2023-01-06T18:00,1023.9,1000.3
2023-01-06T19:00,1023.7,1000.1
2023-01-06T20:00,1023.7,1000.1
2023-01-06T21:00,1023.6,1000.1
2023-01-06T22:00,1023.2,999.7
2023-01-06T23:00,1022.7,999.2
2023-01-07T00:00,1021.9,998.5
2023-01-07T01:00,1021.5,998.1
2023-01-07T02:00,1020.3,997.0
2023-01-07T03:00,1020.1,996.8
2023-01-07T04:00,1018.8,995.5
2023-01-07T05:00,1017.4,994.2
2023-01-07T06:00,1017.4,994.2
2023-01-07T07:00,1017.2,994.0
2023-01-07T08:00,1017.3,994.1
2023-01-07T09:00,1017.1,993.9
2023-01-07T10:00,1017.6,994.5
2023-01-07T11:00,1017.6,994.5
2023-01-07T12:00,1017.4,994.3
2023-01-07T13:00,1016.9,993.8
2023-01-07T14:00,1016.5,993.4
2023-01-07T15:00,1016.3,993.2
2023-01-07T16:00,1016.7,993.5
2023-01-07T17:00,1016.9,993.7
2023-01-07T18:00,1017.2,994.0
2023-01-07T19:00,1017.5,994.2
2023-01-07T20:00,1018.4,995.1
