dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description,Data,Hora,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh)
1672531200.0,2023-01-01 00:00:00+00:00,local,12.93,12.76,12.72,13.43,1019.0,1019.0,995.8,95,2.02,3.72,100.0,moderate rain,2023-01-01,0,0.0,0.467,0.0
1672534800.0,2023-01-01 01:00:00+00:00,local,13.49,13.38,13.43,13.9,1018.0,1018.1,994.9,95,2.18,3.26,100.0,moderate rain,2023-01-01,1,0.0,0.577,0.0
1672538400.0,2023-01-01 02:00:00+00:00,local,13.55,13.44,13.48,14.82,1017.0,1016.8,993.7,95,2.88,2.44,100.0,moderate rain,2023-01-01,2,0.0,0.346,0.0
1672542000.0,2023-01-01 03:00:00+00:00,local,13.61,13.51,12.01,14.82,1016.0,1016.2,993.1,95,3.63,1.74,100.0,moderate rain,2023-01-01,3,0.0,0.27,0.0
1672545600.0,2023-01-01 04:00:00+00:00,local,13.59,13.49,12.01,14.82,1015.0,1015.3,992.3,95,4.58,1.13,100.0,moderate rain,2023-01-01,4,0.0,0.252,0.0
1672549200.0,2023-01-01 05:00:00+00:00,local,13.7,13.61,13.12,15.82,1014.0,1015.0,992.0,95,6.36,1.23,99.0,moderate rain,2023-01-01,5,0.0,0.255,0.0
1672552800.0,2023-01-01 06:00:00+00:00,local,14.22,14.18,14.04,16.12,1014.0,1014.8,991.8,95,8.55,1.2,100.0,moderate rain,2023-01-01,6,0.0,0.256,0.0
1672556400.0,2023-01-01 07:00:00+00:00,local,15.3,15.31,14.79,16.82,1015.0,1014.7,991.7,93,8.37,2.2,100.0,moderate rain,2023-01-01,7,0.0,0.263,0.0
1672560000.0,2023-01-01 08:00:00+00:00,local,16.8,16.55,15.66,16.82,1015.0,1015.1,992.1,77,8.29,2.2,100.0,moderate rain,2023-01-01,8,0.275,0.0,0.002
1672563600.0,2023-01-01 09:00:00+00:00,local,16.61,16.31,14.72,16.82,1014.0,1015.0,992.0,76,8.38,2.13,100.0,moderate rain,2023-01-01,9,0.331,0.0,0.0
1672567200.0,2023-01-01 10:00:00+00:00,local,15.03,14.86,13.72,15.15,1015.0,1014.3,991.3,87,7.31,2.04,100.0,moderate rain,2023-01-01,10,0.271,0.0,0.0
1672570800.0,2023-01-01 11:00:00+00:00,local,13.76,13.65,13.34,14.04,1014.0,1014.3,991.2,94,7.36,3.1,100.0,moderate rain,2023-01-01,11,0.25,0.0,0.022
1672574400.0,2023-01-01 12:00:00+00:00,local,14.1,14.02,13.34,14.82,1014.0,1013.8,990.8,94,6.82,4.96,100.0,heavy intensity rain,2023-01-01,12,0.778,0.0,0.056
1672578000.0,2023-01-01 13:00:00+00:00,local,14.1,14.05,13.9,14.82,1014.0,1014.2,991.2,95,4.85,6.11,100.0,heavy intensity rain,2023-01-01,13,0.496,0.0,0.007
1672581600.0,2023-01-01 14:00:00+00:00,local,13.92,13.82,12.72,14.04,1014.0,1014.4,991.3,94,3.26,6.38,100.0,heavy intensity rain,2023-01-01,14,0.338,0.0,0.016
1672585200.0,2023-01-01 15:00:00+00:00,local,13.5,13.36,12.57,13.82,1015.0,1014.2,991.1,94,1.97,6.16,100.0,heavy intensity rain,2023-01-01,15,0.362,0.0,0.001
