temp,feels_like,temp_min,temp_max,humidity,rain_1h,clouds_all,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),broken clouds,few clouds,heavy intensity rain,light rain,moderate rain,overcast clouds,scattered clouds,sky is clear,Injeçao na rede (kWh)
13.47,13.33,12.57,13.72,94,0.28,100,0.451,0.0,0.0,10.4,12.1,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
16.15,15.31,12.57,16.77,57,0.0,0,0.0,0.233,0.151,14.4,12.6,0.271,126.0,78.0,48.0,431.3,243.4,191.4,118.5,72.9,431.3,369.8,0,0,0,0,0,0,0,1,None
11.82,11.49,11.68,12.01,93,1.37,100,0.0,0.299,0.0,25.6,10.7,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,None
16.28,16.44,15.34,16.93,95,3.84,100,0.0,0.451,0.0,34.2,13.5,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,None
16.82,16.99,16.68,16.82,93,0.69,92,0.37,0.0,0.074,23.8,17.6,0.381,197.0,69.0,128.0,167.9,548.8,238.9,83.7,155.2,167.9,665.5,0,0,0,1,0,0,0,0,None
11.28,10.68,10.66,12.49,85,0.0,100,0.251,0.0,0.127,21.2,11.1,0.408,200.0,104.0,96.0,258.6,567.1,185.9,96.7,89.2,258.6,527.1,0,0,0,0,0,1,0,0,None
11.76,11.45,9.79,11.82,94,0.0,21,0.0,0.4,0.0,13.0,10.2,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
22.26,22.55,18.72,22.37,77,0.0,7,0.0,0.167,0.0,5.0,23.6,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
15.28,15.34,13.6,15.72,95,0.39,100,0.0,0.277,0.0,24.1,13.6,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
21.71,21.87,19.23,21.82,74,0.17,53,0.625,0.0,0.169,47.9,23.0,0.128,156.0,72.0,84.0,256.2,378.1,103.6,47.8,55.8,256.2,251.1,0,0,0,1,0,0,0,0,None
17.19,17.29,13.6,18.72,89,0.0,80,0.0,0.284,0.0,27.0,15.7,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
10.58,10.02,8.72,10.7,89,0.12,58,0.0,1.686,0.0,6.5,8.9,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
21.66,21.68,19.72,21.82,69,0.0,72,0.439,0.0,0.0,14.4,19.5,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
16.25,16.1,15.26,16.72,83,0.0,51,0.942,0.0,0.001,19.8,15.3,0.405,81.0,43.0,38.0,289.4,194.5,31.4,16.7,14.7,191.2,75.4,1,0,0,0,0,0,0,0,None
11.78,11.42,10.34,12.89,92,0.0,100,0.0,0.316,0.0,5.4,10.9,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
15.69,15.12,14.23,15.72,69,0.0,1,0.337,0.0,0.0,18.4,14.0,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
12.81,12.52,11.38,12.93,91,0.0,66,0.0,0.495,0.0,10.1,9.2,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
16.09,15.32,13.34,16.45,60,1.41,52,0.193,0.0,0.087,32.4,16.0,0.335,248.0,140.0,108.0,343.2,562.7,196.7,111.0,85.6,343.2,446.2,0,0,0,0,1,0,0,0,None
16.27,15.47,15.57,16.72,58,0.0,0,0.563,0.0,0.0,17.3,13.5,0.27,67.0,41.0,26.0,323.1,139.3,10.7,6.6,4.2,75.2,22.3,0,0,0,0,0,0,0,1,None
12.46,12.22,12.01,13.72,94,0.15,97,1.664,0.0,0.0,28.4,12.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
17.16,17.31,16.45,18.43,91,0.0,98,0.0,0.325,0.0,12.2,16.6,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
16.13,15.86,13.04,16.26,79,0.0,33,0.0,0.177,0.0,22.3,16.1,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
12.73,12.36,10.34,14.45,88,0.0,0,0.0,0.295,0.0,19.4,12.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
15.13,13.98,14.54,15.15,49,0.0,0,0.541,0.0,0.015,10.1,11.3,0.357,189.0,142.0,47.0,643.0,311.9,132.4,99.5,32.9,643.0,218.5,0,0,0,0,0,0,0,1,None
16.14,15.64,14.72,18.99,70,0.0,50,0.352,0.0,0.0,20.5,16.7,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
9.57,9.57,8.6,9.72,85,0.0,100,1.19,0.0,0.0,14.8,9.4,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
15.03,14.65,14.6,17.32,79,0.0,1,0.0,0.176,0.0,11.2,14.7,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
19.59,19.93,18.6,19.72,89,0.58,99,0.491,0.0,0.0,26.6,16.6,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
19.52,19.88,16.68,19.59,90,0.0,16,0.0,0.2,0.0,8.3,22.7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
15.21,15.19,14.45,17.57,92,3.82,80,0.0,0.467,0.031,16.2,16.3,0.376,40.0,0.0,40.0,0.0,325.0,54.8,0.0,54.8,0.0,445.4,0,0,0,0,1,0,0,0,None
14.1,13.42,14.04,16.22,71,0.0,96,1.522,0.0,0.667,15.8,13.1,0.299,458.0,243.0,215.0,403.3,840.6,479.0,254.1,224.9,403.3,879.2,0,0,0,0,0,1,0,0,None
18.0,18.34,17.79,18.99,95,0.12,99,0.0,0.289,0.0,22.7,17.6,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
7.38,7.38,6.68,7.89,79,0.0,89,0.0,0.279,0.0,7.9,7.8,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
11.24,10.59,10.57,11.26,83,0.0,77,0.0,0.327,0.0,22.3,8.8,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
12.45,12.07,12.37,13.72,89,0.8,100,0.816,0.0,0.0,29.2,11.9,0.43,17.0,3.0,14.0,26.5,107.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
21.33,21.27,18.72,25.9,67,0.0,0,0.0,0.393,0.0,24.8,27.8,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
17.05,16.33,14.79,22.72,58,0.0,10,0.0,0.268,0.0,25.2,16.9,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
14.05,13.91,13.12,14.72,92,1.76,97,0.0,0.41,0.0,47.2,12.6,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,None
19.07,19.04,16.72,22.32,77,0.0,11,0.0,0.209,0.0,14.8,22.4,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
14.47,14.48,13.6,16.21,96,0.0,44,0.0,0.265,0.0,7.6,14.3,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
32.24,32.82,27.72,32.37,41,0.0,86,0.712,0.0,0.015,14.0,31.6,0.102,52.0,22.0,30.0,171.9,125.0,3.7,1.6,2.2,18.2,9.0,0,0,0,0,0,1,0,0,None
13.81,13.47,9.72,14.04,85,0.0,0,0.0,0.272,0.0,5.4,13.3,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
14.59,14.56,14.0,14.79,94,0.59,100,1.096,0.0,0.0,47.9,13.3,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
6.54,4.62,5.72,10.11,68,0.0,0,0.0,0.734,0.0,17.3,6.6,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
14.54,14.19,13.68,14.59,82,0.0,75,0.0,0.416,0.0,28.8,15.9,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
8.49,7.22,7.79,8.99,93,3.47,100,0.0,0.306,0.0,15.5,7.7,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,None
16.81,17.03,15.9,17.49,95,0.41,100,0.0,0.247,0.0,34.2,13.6,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
19.06,19.27,18.34,20.1,86,0.0,45,0.25,0.0,0.113,37.1,19.5,0.364,116.0,56.0,60.0,263.5,293.3,68.3,33.0,35.3,263.5,172.8,0,0,0,0,0,0,1,0,None
14.73,14.69,13.04,16.77,93,0.36,94,0.0,0.267,0.0,40.3,14.5,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
15.17,15.25,15.01,15.82,96,0.31,99,0.256,0.0,0.037,24.8,14.2,0.425,70.0,0.0,70.0,0.0,335.5,49.5,0.0,49.5,0.0,237.4,0,0,0,1,0,0,0,0,None
10.69,10.27,10.01,10.72,94,0.0,58,0.261,0.0,0.204,11.5,9.5,0.351,154.0,79.0,75.0,326.1,337.5,208.2,106.8,101.4,326.1,456.2,1,0,0,0,0,0,0,0,None
17.33,17.49,15.9,17.37,91,0.0,100,0.0,0.539,0.0,5.8,16.3,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
12.66,11.97,8.72,12.93,76,0.0,0,0.0,0.491,0.0,9.4,8.5,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
16.56,16.26,15.72,19.23,76,0.0,0,0.185,0.0,0.011,28.4,19.3,0.222,61.0,32.0,29.0,241.1,139.1,10.8,5.7,5.1,64.9,24.6,0,0,0,0,0,0,0,1,None
17.97,18.25,17.79,18.72,93,0.92,100,0.0,0.575,0.0,39.6,17.7,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
16.27,16.09,13.72,21.77,82,0.0,0,0.0,0.184,0.0,7.2,19.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
11.31,10.74,10.9,12.32,86,0.0,99,0.0,0.33,0.0,11.2,11.5,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
9.32,8.15,7.01,10.67,75,0.0,4,0.0,0.432,0.0,14.8,4.8,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
11.82,11.46,11.12,12.33,92,0.0,7,0.516,0.0,0.0,7.6,11.1,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
10.03,9.54,7.57,11.77,94,0.0,0,0.0,0.438,0.0,9.7,9.9,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
8.06,7.35,5.9,10.72,90,0.0,39,0.0,0.476,0.0,6.5,5.8,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
15.76,15.79,14.79,16.72,92,0.31,96,0.0,0.236,0.0,31.7,14.2,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
10.69,10.24,10.11,10.7,93,0.34,94,0.862,0.0,0.0,17.3,9.6,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
14.4,14.38,14.04,15.72,95,0.26,100,0.208,0.0,0.124,22.7,13.7,0.428,24.0,0.0,24.0,0.0,607.4,22.3,0.0,22.3,0.0,563.8,0,0,0,1,0,0,0,0,None
22.88,23.23,20.9,24.54,77,0.0,0,0.0,0.281,0.0,13.0,22.3,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
18.25,18.04,16.72,20.1,73,0.0,72,0.0,0.317,0.0,14.8,18.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
20.94,20.79,15.72,21.26,65,0.0,2,0.0,0.161,0.0,11.2,19.4,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
15.18,14.61,15.1,15.72,71,0.5,100,0.0,0.259,0.0,43.6,12.8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
8.02,7.28,7.01,8.43,96,0.0,19,0.0,0.284,0.0,10.4,8.2,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
10.22,9.2,7.72,14.0,73,0.0,6,1.066,0.0,0.0,5.4,7.7,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
11.3,10.89,9.15,12.72,92,0.19,93,0.634,0.0,0.0,21.2,10.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
12.93,12.79,12.57,13.04,96,5.09,100,0.366,0.0,0.003,34.9,11.1,0.43,42.0,0.0,42.0,0.0,637.8,43.5,0.0,43.5,0.0,660.1,0,0,1,0,0,0,0,0,None
15.5,15.4,13.72,18.43,88,0.0,0,0.0,0.408,0.0,8.3,18.1,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
15.58,15.36,13.72,15.7,83,0.0,98,0.0,0.28,0.0,5.8,15.6,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
18.33,18.46,17.72,23.34,86,0.0,11,0.0,0.759,0.0,11.5,22.1,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
12.86,11.77,10.72,13.99,60,0.0,64,0.485,0.0,0.0,13.0,11.4,0.345,4.0,1.0,3.0,15.9,27.1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
8.99,8.99,7.88,9.23,93,0.0,44,0.0,0.317,0.0,7.9,7.9,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
18.29,18.21,16.72,23.68,78,0.0,44,0.0,0.499,0.0,8.3,22.0,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
22.05,22.16,16.72,24.23,71,0.0,13,0.0,0.363,0.0,7.9,21.7,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
9.6,8.89,7.32,10.72,91,0.0,24,0.0,1.175,0.002,10.4,6.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
4.51,2.72,3.72,5.9,90,0.0,0,0.0,0.417,0.0,11.2,5.5,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
7.43,5.7,5.72,10.57,87,0.0,6,0.0,0.283,0.0,15.5,7.3,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
16.32,16.25,15.34,17.49,86,0.17,96,0.214,0.0,0.016,56.5,14.6,0.421,152.0,49.0,103.0,147.0,471.2,130.5,42.1,88.4,147.0,404.4,0,0,0,1,0,0,0,0,None
19.59,19.98,19.23,19.72,91,0.33,68,0.757,0.0,0.0,23.8,20.1,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
15.65,15.26,13.34,15.7,76,0.0,39,0.985,0.0,0.159,39.2,18.2,0.298,280.0,176.0,104.0,484.5,489.6,209.1,131.4,77.7,484.5,365.6,0,0,0,0,0,0,1,0,None
15.09,13.88,13.72,15.67,47,0.0,60,1.33,0.0,0.072,18.0,13.8,0.345,260.0,201.0,59.0,685.4,408.4,195.7,151.3,44.4,685.4,307.3,1,0,0,0,0,0,0,0,None
16.28,16.42,15.57,17.32,94,0.0,100,0.249,0.0,0.084,14.4,16.5,0.318,123.0,0.0,123.0,0.0,539.7,149.8,0.0,149.8,0.0,657.2,0,0,0,0,0,1,0,0,None
12.86,12.08,9.23,12.93,72,0.0,45,0.0,0.442,0.0,11.9,10.9,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
14.1,13.99,13.34,15.1,93,0.0,98,0.0,0.272,0.0,9.0,15.4,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
15.76,15.82,15.34,16.72,93,3.24,100,0.0,0.25,0.0,45.0,14.2,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,None
9.0,9.0,7.57,9.04,94,0.0,73,0.0,0.289,0.0,10.1,6.4,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
15.7,15.75,14.79,16.12,93,0.26,97,0.544,0.0,0.01,22.3,13.7,0.426,23.0,4.0,19.0,31.6,124.5,45.9,8.0,37.9,44.4,248.4,0,0,0,1,0,0,0,0,None
17.21,17.0,14.72,17.37,77,0.0,0,1.564,0.0,0.004,18.0,16.3,0.289,15.0,6.0,9.0,69.0,60.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
18.21,17.94,14.72,19.23,71,0.0,50,0.201,0.0,0.166,32.4,17.1,0.318,202.0,104.0,98.0,345.9,409.9,138.9,71.5,67.4,345.9,281.8,0,0,0,0,0,0,1,0,None
16.81,15.9,15.34,17.79,52,0.0,0,0.219,0.0,0.039,14.0,14.8,0.28,220.0,167.0,53.0,653.1,357.9,158.9,120.6,38.3,653.1,258.5,0,0,0,0,0,0,0,1,None
9.64,8.54,9.23,11.21,91,0.12,45,0.645,0.0,0.0,14.0,10.1,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
11.74,10.48,7.57,11.77,58,0.0,22,0.0,0.458,0.0,25.6,8.4,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
10.67,10.25,8.68,10.72,94,0.12,95,0.0,0.275,0.0,9.0,8.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
13.22,12.58,9.72,13.48,76,0.0,85,0.0,0.515,0.0,9.0,9.8,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
14.58,14.47,13.68,14.59,91,0.52,100,0.0,0.53,0.0,16.9,13.3,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
