iter	RMSE
0	2755577.396
1	2598458.652
2	2452636.791
3	2320486.308
4	2197723.284
5	2084270.274
6	1977367.615
7	1880025.171
8	1792448.89
9	1708029.044
10	1629071.663
11	1557427.382
12	1490388.739
13	1428683.499
14	1373275.223
15	1321319.527
16	1275377.016
17	1231934.192
18	1187365.131
19	1148958.535
20	1110926.435
21	1075845.316
22	1045282.854
23	1014618.394
24	986014.2218
25	960747.9468
26	936844.9193
27	914389.9822
28	896649.5407
29	878374.691
30	860011.2259
31	845556.9436
32	830279.43
33	815728.7067
34	802185.2608
35	788662.364
36	777431.1792
37	767291.5316
38	758381.3145
39	749316.8578
40	741592.6731
41	734117.113
42	727050.5558
43	721672.5557
44	714067.0517
45	708991.4379
46	703388.9832
47	697198.1469
48	692367.8891
49	688229.9675
50	683726.1905
51	679030.5418
52	675725.1083
53	672730.1143
54	667391.1523
55	660148.3303
56	657465.3296
57	652329.2469
58	648652.6585
59	642583.5557
60	637376.3268
61	635069.7504
62	632706.7394
63	630458.0681
64	624967.6707
65	622659.1336
66	620211.3744
67	615072.6883
68	611621.1243
69	607568.7821
70	604378.233
71	602345.1066
72	598756.0934
73	594643.4385
74	591938.6998
75	588230.4615
76	585911.1439
77	582460.7597
78	579299.0375
79	577312.2765
80	572587.4532
81	568691.6761
82	565302.2751
83	562459.8505
84	559362.0917
85	558272.2291
86	556153.9864
87	553236.6238
88	550629.6516
89	549169.8676
90	548378.9794
91	545954.2704
92	543119.1862
93	541608.1011
94	540221.1488
95	539142.7633
96	538038.5452
97	536249.2345
98	534042.1698
99	532025.382
100	530995.3528
101	529579.0933
102	528521.2699
103	527696.1857
104	525864.8931
105	524534.3544
106	522690.7871
107	520719.8341
108	518727.7453
109	518131.7746
110	517386.6428
111	516128.8569
112	514585.8353
113	513524.6475
114	512052.2358
115	510819.7965
116	510333.4272
117	509352.2932
118	508647.0139
119	507971.1595
120	507244.2743
121	506753.2688
122	505962.5991
123	505585.0916
124	504244.8336
125	503188.0281
126	502289.8617
127	501423.7906
128	500806.7698
129	499945.5324
130	499681.0683
131	499087.2308
132	498539.3736
133	497535.4626
134	496182.6512
135	495188.5512
136	494269.2114
137	493746.7308
138	492713.5479
139	492203.7147
140	491777.726
141	491342.5915
142	490377.1837
143	489979.6552
144	489058.6601
145	488229.1682
146	486974.8433
147	486578.906
148	486229.1686
149	484571.3372
150	483362.0031
151	482728.9684
152	481606.6136
153	480617.9492
154	479852.7495
155	479154.457
156	478157.9864
157	477954.7259
158	476893.6392
159	475788.8557
160	475004.0708
161	474527.2155
162	474072.881
163	472986.8473
164	472628.2428
165	472432.9253
166	472106.7378
167	471559.6843
168	471193.4698
169	470300.6357
170	469409.2937
171	469099.6534
172	468047.227
173	467505.9251
174	467229.6664
175	466453.2698
176	466316.889
177	466183.8707
178	465685.5789
179	465370.7239
180	463826.2516
181	463701.1718
182	463107.9787
183	462656.488
184	462311.8433
185	462194.5373
186	461779.8442
187	461262.9852
188	460938.5753
189	459988.1087
190	459080.608
191	458349.2342
192	457334.2407
193	456784.0988
194	455995.8007
195	455213.0329
196	454427.6864
197	454181.4732
198	453273.4357
199	452629.911
200	452253.6119
201	451890.3389
202	451549.8126
203	451231.2795
204	450662.3969
205	450044.9697
206	449898.7788
207	448907.4936
208	448771.827
209	448641.1776
210	447806.7587
211	446964.3897
212	446234.7805
213	445987.5237
214	445561.4036
215	445218.0537
216	444993.2406
217	444380.0383
218	443928.869
219	443534.347
220	443238.6903
221	442873.5506
222	442658.7839
223	442388.8263
224	442048.794
225	441645.9275
226	441219.721
227	440968.0009
228	440619.2768
229	440449.8714
230	439773.1097
231	439611.8969
232	439299.5095
233	438648.5096
234	437838.9532
235	437710.9436
236	437553.4085
237	437310.9542
238	436783.143
239	436588.1593
240	436053.0754
241	435461.0202
242	435068.6693
243	434323.8036
244	434154.7535
245	434054.2397
246	433700.3327
247	433179.4805
248	433082.1448
249	432701.9042
250	431928.1895
251	431736.8639
252	431195.7903
253	430502.2961
254	430407.3349
255	430122.8636
256	429821.5784
257	429301.4827
258	428999.5135
259	428826.1309
260	428519.9717
261	428307.0498
262	428216.6681
263	428076.2931
264	427765.6859
265	427199.8747
266	426907.4646
267	426823.4514
268	426611.2819
269	426530.3451
270	425888.6316
271	425743.4192
272	425651.1443
273	425396.893
274	424935.2575
275	424526.3628
276	424341.5273
277	424067.7782
278	423179.3645
279	422974.4326
280	422637.8569
281	422335.832
282	421704.1414
283	421444.5743
284	421155.3587
285	420686.0641
286	420568.2839
287	420179.7421
288	419690.6922
289	419231.7712
290	418843.7641
291	418599.7584
292	418333.0047
293	418193.1146
294	417976.7489
295	417880.097
296	417309.5245
297	416905.3888
298	416610.7994
299	416277.7974
300	416174.1244
301	416097.8812
302	415915.6409
303	415755.6239
304	415207.1347
305	415047.3226
306	414899.7677
307	414691.7778
308	414131.4376
309	413613.306
310	413254.9783
311	413026.4605
312	412763.7536
313	412410.7431
314	412293.9656
315	412074.4952
316	411493.4378
317	411186.3004
318	410837.7375
319	410611.7705
320	410423.3338
321	410318.8949
322	410212.0725
323	409658.7882
324	409443.0616
325	409224.8316
326	409011.4775
327	408524.462
328	408220.3809
329	407785.8736
330	407642.3459
331	407320.5589
332	407164.7331
333	406893.8061
334	406662.4414
335	406205.834
336	406110.6064
337	405944.9015
338	405791.5725
339	405390.9711
340	405104.1205
341	404719.2666
342	404582.9099
343	404313.9229
344	403892.399
345	403490.3589
346	403294.7683
347	403034.9088
348	402433.584
349	402266.024
350	402144.0022
351	402069.4773
352	401658.2405
353	401587.8005
354	401153.508
355	400739.77
356	400354.3279
357	400243.4129
358	400170.8553
359	400102.0406
360	399812.4502
361	399713.7086
362	399565.4131
363	399454.5136
364	399083.3911
365	398890.0622
366	398620.675
367	398371.1494
368	398116.7625
369	397761.0007
370	397434.2196
371	397204.5227
372	397043.7722
373	396746.8731
374	396544.3313
375	396090.095
376	395707.3461
377	395487.4948
378	395229.8414
379	394714.4169
380	394605.4988
381	394169.4977
382	394012.3501
383	393846.441
384	393567.9526
385	393310.3694
386	392860.1061
387	392414.8814
388	392263.9052
389	392002.5412
390	391790.3025
391	391517.1885
392	391432.2839
393	391047.6781
394	390814.1125
395	390614.3786
396	390406.2427
397	390111.528
398	390049.2331
399	389827.2372
400	389373.752
401	389314.6191
402	389132.0051
403	389077.2904
404	388923.6282
405	388764.4778
406	388355.4636
407	388320.6543
408	387949.1228
409	387698.552
410	387314.9616
411	387191.3801
412	386929.4543
413	386609.2498
414	386404.544
415	386237.3308
416	386064.5178
417	385975.1486
418	385429.3312
419	385119.7292
420	384985.491
421	384794.8136
422	384580.4774
423	384483.7231
424	384364.2681
425	384071.7897
426	383900.085
427	383757.782
428	383429.0847
429	383143.9437
430	383036.1867
431	382577.373
432	382481.565
433	382365.2858
434	382287.7761
435	381995.6703
436	381899.9175
437	381542.8727
438	381264.1378
439	381188.8069
440	381102.0763
441	381032.2132
442	380776.5957
443	380462.5519
444	380403.3726
445	380303.3078
446	380166.2177
447	379949.978
448	379685.3966
449	379346.2059
450	379301.8391
451	378993.5664
452	378689.3944
453	378469.9029
454	378338.1911
455	378233.8212
456	377943.5551
457	377859.7947
458	377796.6255
459	377545.9302
460	377249.9643
461	377008.071
462	376814.7777
463	376776.0314
464	376645.9179
465	376609.0848
466	376309.5258
467	376189.4242
468	376123.557
469	376063.1265
470	375839.8733
471	375556.5441
472	375461.7877
473	375228.8339
474	375099.3001
475	374910.0764
476	374812.3887
477	374749.8297
478	374296.2916
479	374140.91
480	373933.7437
481	373641.0703
482	373476.2874
483	373125.5136
484	373095.829
485	373035.9468
486	372881.8139
487	372726.134
488	372593.2268
489	372548.6272
490	372313.7853
491	372209.0584
492	372151.4309
493	371863.924
494	371753.9371
495	371522.4924
496	371449.3186
497	371224.6694
498	371113.6323
499	371011.7752
500	370979.5648
501	370733.0283
502	370597.9625
503	370471.615
504	370377.9147
505	370025.0681
506	369993.989
507	369964.2601
508	369759.1645
509	369479.0804
510	369446.5822
511	369350.7516
512	369250.1182
513	369099.7458
514	368770.6659
515	368742.9509
516	368654.2271
517	368340.2585
518	367855.4245
519	367640.7548
520	367576.7402
521	367464.65
522	366970.5931
523	366866.8892
