iter	Passed	Remaining
0	4	4437
1	10	5228
2	16	5379
3	20	5045
4	25	5034
5	29	4866
6	33	4723
7	37	4597
8	42	4723
9	47	4737
10	52	4709
11	57	4722
12	61	4658
13	65	4581
14	69	4555
15	74	4573
16	79	4598
17	83	4546
18	88	4566
19	92	4525
20	96	4502
21	100	4470
22	105	4472
23	111	4544
24	116	4527
25	120	4529
26	124	4492
27	128	4474
28	133	4464
29	139	4525
30	146	4577
31	153	4650
32	160	4699
33	164	4686
34	169	4678
35	173	4640
36	178	4658
37	182	4624
38	187	4628
39	192	4612
40	196	4596
41	200	4566
42	205	4563
43	209	4558
44	214	4545
45	218	4534
46	224	4545
47	228	4524
48	231	4494
49	236	4499
50	241	4494
51	245	4479
52	250	4468
53	254	4462
54	258	4437
55	262	4422
56	266	4413
57	271	4402
58	276	4402
59	279	4384
60	285	4394
61	289	4380
62	293	4369
63	297	4351
64	302	4350
65	306	4344
66	311	4331
67	316	4333
68	321	4338
69	325	4324
70	329	4310
71	334	4310
72	339	4304
73	343	4295
74	348	4292
75	352	4285
76	356	4268
77	360	4259
78	365	4256
79	369	4243
80	373	4241
81	378	4232
82	383	4234
83	387	4230
84	393	4232
85	399	4242
86	405	4255
87	413	4283
88	418	4285
89	423	4282
90	426	4265
91	432	4269
92	438	4276
93	442	4264
94	447	4260
95	451	4248
96	454	4233
97	458	4222
98	463	4219
99	469	4221
100	472	4210
101	477	4207
102	481	4195
103	485	4181
104	489	4172
105	494	4167
106	498	4158
107	502	4153
108	507	4144
109	511	4136
110	515	4125
111	518	4114
112	522	4101
113	527	4100
114	533	4105
115	537	4097
116	541	4087
117	546	4083
118	550	4072
119	554	4063
120	558	4056
121	562	4047
122	567	4049
123	571	4038
124	576	4035
125	580	4026
126	584	4019
127	588	4008
128	593	4004
129	597	3998
130	601	3989
131	605	3981
132	610	3977
133	614	3970
134	618	3963
135	623	3961
136	628	3960
137	633	3958
138	637	3950
139	642	3947
140	646	3936
141	649	3924
142	653	3916
143	658	3911
144	662	3904
145	666	3899
146	670	3892
147	676	3892
148	680	3887
149	684	3879
150	689	3875
151	693	3866
152	698	3864
153	702	3857
154	707	3854
155	711	3847
156	715	3839
157	718	3830
158	724	3829
159	729	3832
160	733	3824
161	738	3821
162	742	3812
163	746	3804
164	751	3801
165	758	3810
166	763	3806
167	767	3801
168	772	3798
169	776	3790
170	780	3784
171	784	3774
172	789	3772
173	793	3768
174	798	3763
175	802	3759
176	806	3750
177	810	3744
178	815	3741
179	822	3747
180	828	3748
181	832	3740
182	837	3740
183	842	3736
184	846	3728
185	850	3721
186	854	3716
187	859	3713
188	863	3704
189	868	3703
190	872	3695
191	876	3689
192	880	3681
193	885	3679
194	890	3675
195	894	3670
196	898	3662
197	902	3656
198	906	3650
199	910	3643
200	916	3641
201	920	3635
202	924	3631
203	929	3625
204	937	3635
205	942	3631
206	947	3631
207	953	3628
208	959	3630
209	964	3629
210	969	3626
211	975	3625
212	981	3625
213	985	3620
214	991	3621
215	997	3619
216	1001	3613
217	1005	3607
218	1009	3600
219	1014	3596
220	1019	3592
221	1023	3586
222	1027	3578
223	1032	3576
224	1036	3569
225	1040	3562
226	1044	3556
227	1049	3553
228	1055	3552
229	1058	3545
230	1063	3541
231	1067	3534
232	1071	3528
233	1075	3521
234	1080	3518
235	1085	3513
236	1089	3509
237	1094	3504
238	1098	3498
239	1102	3491
240	1106	3483
241	1111	3480
242	1114	3472
243	1120	3470
244	1124	3463
245	1128	3458
246	1132	3451
247	1135	3444
248	1139	3438
249	1144	3434
250	1151	3435
251	1155	3428
252	1159	3424
253	1163	3417
254	1167	3411
255	1171	3405
256	1176	3401
257	1180	3394
258	1185	3391
259	1189	3384
260	1193	3380
261	1197	3374
262	1201	3367
263	1205	3361
264	1210	3358
265	1216	3356
266	1221	3352
267	1226	3351
268	1231	3346
269	1235	3341
270	1240	3336
271	1244	3331
272	1249	3326
273	1252	3319
274	1258	3316
275	1263	3313
276	1267	3308
277	1271	3301
278	1276	3297
279	1280	3293
280	1285	3288
281	1289	3283
282	1293	3276
283	1297	3270
284	1300	3263
285	1306	3260
286	1310	3255
287	1315	3251
288	1319	3245
289	1324	3242
290	1327	3235
291	1331	3228
292	1335	3223
293	1340	3218
294	1345	3215
295	1349	3209
296	1355	3207
297	1360	3204
298	1364	3198
299	1368	3192
300	1373	3188
301	1377	3184
302	1381	3178
303	1387	3176
304	1392	3173
305	1396	3167
306	1400	3161
307	1405	3157
308	1410	3154
309	1414	3149
310	1419	3144
311	1423	3138
312	1427	3132
313	1431	3126
314	1435	3122
315	1439	3116
316	1444	3112
317	1448	3106
318	1453	3103
319	1458	3099
320	1462	3093
321	1465	3086
322	1470	3082
323	1475	3078
324	1479	3073
325	1484	3068
326	1488	3063
327	1492	3057
328	1496	3051
329	1501	3048
330	1505	3043
331	1509	3037
332	1513	3032
333	1519	3029
334	1523	3023
335	1527	3017
336	1530	3011
337	1535	3007
338	1540	3002
339	1543	2997
340	1549	2993
341	1554	2990
342	1558	2985
343	1562	2979
344	1567	2975
345	1572	2971
346	1576	2966
347	1580	2961
348	1584	2956
349	1588	2950
350	1592	2944
351	1596	2939
352	1600	2934
353	1605	2930
354	1609	2924
355	1614	2920
356	1618	2915
357	1622	2910
358	1627	2906
359	1633	2904
360	1639	2901
361	1643	2895
362	1648	2892
363	1652	2886
364	1656	2881
365	1659	2874
366	1665	2872
367	1672	2872
368	1676	2867
369	1681	2863
370	1686	2858
371	1690	2853
372	1695	2849
373	1698	2843
374	1703	2839
375	1707	2833
376	1712	2830
377	1716	2824
378	1720	2819
379	1724	2814
380	1729	2809
381	1734	2806
382	1738	2800
383	1742	2795
384	1747	2792
385	1752	2788
386	1757	2784
387	1763	2782
388	1769	2779
389	1773	2774
390	1778	2770
391	1782	2765
392	1786	2759
393	1791	2754
394	1795	2749
395	1800	2746
396	1804	2740
397	1809	2736
398	1812	2730
399	1816	2725
400	1821	2721
401	1826	2716
402	1830	2711
403	1834	2706
404	1838	2701
405	1843	2697
406	1847	2692
407	1851	2686
408	1855	2680
409	1862	2679
410	1867	2675
411	1871	2670
412	1875	2666
413	1879	2660
414	1883	2655
415	1888	2650
416	1892	2645
417	1897	2641
418	1901	2636
419	1906	2632
420	1910	2627
421	1914	2622
422	1918	2616
423	1922	2612
424	1927	2607
425	1931	2602
426	1935	2597
427	1940	2593
428	1944	2588
429	1948	2582
430	1951	2576
431	1957	2574
432	1963	2571
433	1967	2566
434	1972	2561
435	1976	2556
436	1980	2551
437	1984	2546
438	1989	2542
439	1994	2537
440	1997	2532
441	2001	2526
442	2006	2522
443	2010	2517
444	2014	2512
445	2018	2507
446	2023	2503
447	2027	2498
448	2032	2494
449	2039	2492
450	2045	2489
451	2048	2484
452	2054	2480
453	2059	2476
454	2063	2471
455	2067	2466
456	2072	2463
457	2076	2457
458	2080	2452
459	2085	2448
460	2090	2443
461	2094	2439
462	2098	2433
463	2103	2429
464	2107	2424
465	2111	2419
466	2115	2414
467	2120	2410
468	2124	2405
469	2128	2399
470	2133	2396
471	2137	2390
472	2141	2385
473	2144	2380
474	2150	2376
475	2155	2372
476	2159	2367
477	2163	2362
478	2169	2359
479	2173	2354
480	2177	2349
481	2183	2346
482	2188	2342
483	2192	2337
484	2196	2332
485	2201	2328
486	2204	2322
487	2208	2317
488	2213	2313
489	2218	2309
490	2222	2304
491	2226	2298
492	2230	2294
493	2234	2288
494	2238	2284
495	2242	2278
496	2247	2274
497	2252	2270
498	2256	2265
499	2260	2260
500	2264	2255
501	2268	2250
502	2272	2245
503	2276	2240
504	2281	2236
505	2288	2233
506	2291	2228
507	2296	2224
508	2300	2219
509	2304	2214
510	2308	2208
511	2312	2204
512	2317	2200
513	2321	2195
514	2327	2192
515	2331	2187
516	2336	2183
517	2341	2178
518	2347	2175
519	2351	2171
520	2355	2166
521	2360	2161
522	2364	2156
523	2369	2152
524	2374	2148
525	2379	2144
526	2385	2141
527	2389	2136
528	2395	2132
529	2398	2127
530	2402	2122
531	2406	2117
532	2411	2112
533	2416	2108
534	2420	2103
535	2425	2099
536	2429	2094
537	2433	2089
538	2438	2085
539	2445	2083
540	2451	2079
541	2455	2074
542	2460	2070
543	2464	2065
544	2468	2060
545	2472	2055
546	2476	2051
547	2481	2047
548	2485	2042
549	2490	2037
550	2495	2033
551	2499	2028
552	2503	2023
553	2507	2018
554	2513	2015
555	2517	2010
556	2522	2005
557	2526	2001
558	2530	1996
559	2534	1991
560	2539	1987
561	2543	1982
562	2548	1977
563	2552	1973
564	2557	1968
565	2560	1963
566	2564	1958
567	2569	1953
568	2573	1949
569	2578	1945
570	2582	1940
571	2587	1936
572	2592	1931
573	2596	1927
574	2600	1921
575	2604	1917
576	2610	1913
577	2614	1908
578	2618	1903
579	2623	1899
580	2627	1895
581	2632	1890
582	2638	1887
583	2643	1882
584	2647	1878
585	2651	1873
586	2656	1868
587	2660	1864
588	2665	1860
589	2670	1855
590	2675	1851
591	2678	1846
592	2682	1841
593	2688	1837
594	2692	1832
595	2696	1827
596	2701	1823
597	2708	1820
598	2711	1815
599	2716	1810
600	2720	1806
601	2724	1801
