Company Name,Model Name,Model Year,Kilometers,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Price,Mapped_colors
28,181,2017,15882,2,1000,0,1,0,1,2385000,2
28,53,2019,17881,2,1300,1,4,0,0,111000,0
27,14,2019,28163,2,660,1,1,0,1,1530000,0
27,14,2019,15449,2,660,1,1,1,0,1650000,0
28,53,2010,193121,2,1300,1,4,1,0,1435000,2
10,49,2017,35405,2,1500,1,4,0,0,3850000,2
27,183,2017,49889,2,1000,1,1,1,0,1440000,0
21,111,2012,162543,2,1000,0,1,0,0,1425000,2
28,132,1998,177027,0,3000,0,3,0,0,2650000,3
10,49,2017,96560,2,1800,1,4,0,0,3350000,0
10,179,2014,146450,1,1500,0,0,0,0,3200000,2
10,48,2017,120700,2,1300,1,4,1,0,1990000,0
10,114,2016,32186,2,660,0,1,0,0,185000,2
27,58,2012,133575,2,1000,1,1,1,0,920000,2
28,53,2018,82462,2,1300,1,4,0,0,2750000,0
10,114,2017,160934,2,660,0,1,0,0,1150000,2
10,48,2004,241401,2,1300,1,4,1,0,910000,2
28,73,2018,56327,0,2800,1,3,0,0,8650000,0
27,183,2016,72420,2,660,0,1,0,1,1625000,3
10,48,2016,93341,2,1300,1,4,1,0,2100000,0
28,181,2001,217261,2,1000,0,1,0,0,965000,3
27,108,2018,88513,2,800,1,1,1,0,840000,0
10,49,2012,152887,2,1800,1,4,1,0,1985000,0
28,53,2016,154497,2,1600,1,4,0,0,2445000,2
28,53,2011,201168,2,1300,1,4,1,0,1360000,0
10,48,2018,48280,2,1300,1,4,0,0,2485000,0
10,49,2010,283244,2,1800,1,4,0,0,1490000,3
27,14,2016,104607,2,660,0,1,0,0,1445000,0
27,183,2013,136794,2,660,1,1,0,0,1495000,0
10,49,2011,119091,2,1800,1,4,0,0,1815000,2
10,49,2018,83598,2,1800,1,4,0,0,3550000,2
10,48,2018,49889,2,1300,1,4,1,0,2300000,0
10,49,2012,177658,2,1800,1,4,0,0,2400000,3
10,49,2015,144840,2,1800,1,4,1,0,2390000,0
22,60,2017,138403,2,660,0,1,0,0,1400000,2
7,110,2014,123919,2,660,0,1,0,0,1345000,3
27,14,2016,101388,2,660,1,1,0,0,1495000,3
10,48,2006,289681,2,1500,1,4,0,0,1210000,3
10,48,2000,265541,2,1300,1,4,1,0,625000,3
28,53,2010,173809,2,1800,1,4,0,0,1750000,2
27,183,2016,131966,2,1000,1,1,1,0,1385000,2
28,53,2014,242206,2,1300,1,4,1,0,1880000,2
28,53,2019,32186,2,1300,1,4,0,0,3000000,0
27,108,2005,136794,2,800,1,1,1,0,495000,2
10,48,2016,152887,2,1300,0,4,1,0,1970000,0
28,53,2005,230136,2,1300,1,4,1,0,1170000,2
28,135,2014,125528,2,1800,0,4,0,0,2980000,2
10,48,2005,152887,2,1300,1,4,1,0,1025000,2
27,108,2010,135184,2,800,1,1,1,0,585000,0
10,49,2004,239792,2,1500,1,4,1,0,1140000,1
27,58,2014,109435,2,1000,1,1,1,0,1215000,0
10,49,2014,91732,2,1800,1,4,1,0,2265000,0
22,91,2012,88513,2,1500,0,3,0,0,2400000,0
28,123,2017,56327,2,1000,0,1,0,1,2350000,3
27,183,2018,45061,2,1000,1,1,1,0,1510000,2
27,29,2018,66937,2,800,1,5,1,0,955000,0
10,49,2016,91732,2,1800,1,4,0,0,3045000,2
10,49,2017,74029,2,1800,1,4,0,0,3345000,0
10,49,2018,75639,2,1800,1,4,0,0,3345000,0
27,168,2015,125528,2,1300,1,1,1,0,1420000,2
10,48,2014,104607,2,1300,1,4,1,0,1835000,0
27,101,2006,133575,2,1300,1,4,1,0,895000,0
28,135,2016,24470,2,1800,0,4,0,1,5200000,0
27,14,2008,197949,2,660,0,1,0,0,700000,2
27,58,2018,45987,2,1000,1,1,1,0,1720000,2
28,123,2014,128747,2,1000,0,1,0,0,1650000,1
28,135,2010,128747,1,1800,0,4,0,0,1960000,2
27,58,2006,198683,2,1000,1,1,1,0,650000,0
28,135,2014,145677,2,1800,0,4,0,0,2790000,2
27,106,1993,804672,1,1300,1,4,1,0,250000,0
28,53,2016,83685,2,1600,1,4,0,0,2600000,0
28,39,2012,160934,2,2500,0,4,0,0,5000000,2
7,110,2015,1094353,2,660,0,1,0,0,1630000,0
1,4,2017,9495,2,1400,0,4,0,0,8700000,2
7,110,2012,104607,2,660,0,1,0,0,1300000,2
28,115,2015,56327,1,1800,0,2,0,1,3850000,2
28,132,2012,120700,2,4000,0,3,0,0,13900000,2
28,135,2008,144840,2,1500,0,4,0,0,1725000,0
28,53,2019,6437,2,1600,1,4,0,0,3400000,0
10,179,2016,82076,2,1500,0,0,0,0,4630000,0
10,48,2018,17722,2,1500,1,4,0,0,2725000,1
27,101,2006,251057,1,1300,1,4,1,0,780000,2
7,81,2010,209848,2,660,0,2,0,0,910000,0
27,29,2016,40233,2,800,1,5,1,0,950000,0
27,168,2013,128747,2,1300,1,1,1,0,1500000,0
27,183,2018,48280,2,1000,1,1,1,0,1500000,2
27,183,2014,51499,2,660,0,1,0,1,1450000,4
27,108,2018,80467,2,800,1,1,1,0,925000,0
10,114,2016,65983,2,660,0,1,0,0,1595000,0
27,101,2006,173168,2,1300,1,4,1,0,650000,3
28,99,1994,188293,0,4200,0,3,0,0,2700000,3
28,53,2018,33796,2,1600,1,4,0,0,3025000,2
10,49,2001,160934,2,1600,1,4,1,0,875000,0
28,15,2015,180246,2,1500,0,1,0,0,2400000,0
10,49,2010,88513,2,1800,1,4,0,0,1725000,2
10,49,2017,72420,2,1800,1,4,0,0,3150000,2
27,14,2019,10943,2,660,1,1,1,0,660000,0
10,49,2014,46670,2,1800,1,4,0,0,2525000,0
28,15,2016,120700,1,1500,0,1,0,1,3025000,0
28,99,2016,69523,2,4608,0,3,0,0,34300000,2
28,99,2016,20577,2,4608,0,3,0,1,37500000,0
28,135,2010,201168,2,1800,0,4,0,0,2200000,0
28,135,2016,128322,1,1800,0,4,0,1,4095000,2
10,114,2014,104607,2,660,0,1,0,0,1450000,3
10,49,2016,43452,2,1800,1,4,0,0,3190000,0
27,101,2007,273588,2,1300,1,4,1,0,725000,3
27,183,2019,34922,2,1000,1,1,1,0,1600000,2
10,49,2017,61155,2,1800,1,4,0,0,3300000,2
27,168,2012,209214,2,1300,1,1,1,0,1230000,2
7,110,2005,123597,2,660,0,1,0,0,895000,0
27,106,1998,1528876,2,1300,1,4,1,0,400000,2
28,99,2011,112654,2,4608,0,3,0,0,20000000,0
10,48,2019,12391,2,1300,1,4,0,0,2495000,0
10,71,2017,49889,1,1500,0,1,0,1,3325000,0
28,53,2010,151278,2,1800,1,4,0,0,1750000,2
7,110,2015,43452,2,660,0,1,0,1,1550000,3
27,108,2009,109435,2,800,1,1,1,0,550000,1
10,49,2010,146450,2,1800,1,4,0,0,1700000,2
28,132,2012,144840,2,2700,0,3,0,0,11500000,2
10,48,2018,28968,2,1300,1,4,0,0,2480000,0
10,49,2017,88513,2,1800,1,4,0,0,3280000,0
27,108,2013,72420,2,800,1,1,1,0,675000,0
27,108,2006,165562,2,800,1,1,1,0,430000,0
28,123,2007,284853,2,1000,0,1,0,0,1250000,2
28,135,2015,72420,2,1800,0,4,0,1,3350000,1
7,110,2016,53108,2,660,0,1,0,1,1700000,2
28,15,2013,112654,2,1500,0,1,0,0,2250000,1
27,108,2019,25749,2,800,1,1,1,0,1050000,0
10,9,2012,114263,2,2400,1,4,0,0,4200000,2
28,53,2008,931810,2,1300,1,4,1,0,1025000,0
28,132,2015,46988,2,2700,0,3,0,1,16300000,0
28,53,2012,148059,2,1300,1,4,1,0,1620000,0
27,29,2011,80467,2,800,1,2,1,0,550000,3
27,108,2015,64373,2,800,1,1,1,0,660000,2
27,58,2007,148059,2,1000,1,1,1,0,630000,2
28,53,2017,65983,2,1300,1,4,1,0,2595000,0
27,108,2004,267973,2,800,1,1,1,0,370000,0
27,183,2018,13196,2,1000,1,1,1,0,1620000,2
28,15,2017,144824,1,1500,0,1,0,1,3399000,2
27,108,2015,128586,2,800,1,1,1,0,760000,2
27,108,2011,222089,2,800,1,1,1,0,575000,2
28,53,2003,160934,0,2000,1,4,1,0,1020000,3
