iter	RMSE
0	2628196.152
1	2413087.657
2	2220793.143
3	2038914.323
4	1884194.334
5	1742483.405
6	1612489.434
7	1497354.965
8	1395240.923
9	1305949.639
10	1222863.538
11	1145527.457
12	1078577.166
13	1019713.745
14	967207.7121
15	917832.4212
16	875166.5208
17	836835.5467
18	804200.4175
19	771947.8761
20	746226.4442
21	721540.9668
22	697422.0591
23	675649.7856
24	655615.3321
25	639479.784
26	623270.1867
27	609936.1081
28	597634.5367
29	585179.1934
30	575658.9986
31	565837.8998
32	556554.3409
33	548062.6051
34	539770.4292
35	532278.8526
36	526042.0218
37	520745.6134
38	514522.517
39	509110.3801
40	504127.1114
41	500066.9498
42	495187.5465
43	490347.382
44	487132.2909
45	483210.6407
46	479963.0761
47	477038.9334
48	473057.7405
49	470173.2297
