iter	Passed	Remaining
0	19	960
1	41	989
2	64	1004
3	86	991
4	107	971
5	127	932
6	148	911
7	167	878
8	190	867
9	211	845
10	230	817
11	258	818
12	280	799
13	300	771
14	322	751
15	341	726
16	362	703
17	382	680
18	432	704
19	499	749
20	522	720
21	541	689
22	568	667
23	588	637
24	607	607
25	627	579
26	646	551
27	665	523
28	686	496
29	705	470
30	726	445
31	749	421
32	769	396
33	788	370
34	808	346
35	828	322
36	849	298
37	873	275
38	892	251
39	913	228
40	936	205
41	957	182
42	980	159
43	1001	136
44	1020	113
45	1041	90
46	1061	67
47	1082	45
48	1102	22
49	1121	0
